               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094291,             0.03146,                   0,           0.0033333,                 0.6,             0.11658,            0.028846,            0.038064,            0.024252,                   0,              0.0847,              0.0017,              0.0017
                   1,            0.088354,            0.031043,                   0,           0.0033333,                 0.6,            0.031454,            0.010735,            0.039493,             0.02363,                   0,            0.068327,           0.0033267,           0.0033267
                   2,             0.07963,             0.03012,                   0,           0.0033333,                 0.8,            0.023392,            0.010048,            0.035243,             0.02124,                   0,            0.051775,           0.0047753,           0.0047753
                   3,            0.086957,            0.032893,                   0,           0.0033333,                 0.8,            0.023392,            0.010048,            0.035243,             0.02124,                   0,            0.035046,           0.0060456,           0.0060456
                   4,             0.08522,            0.029295,                   0,           0.0033333,                 0.8,            0.018621,           0.0047548,            0.029094,            0.020741,                   0,            0.018138,           0.0071378,           0.0071378
                   5,            0.077116,            0.033175,                   0,           0.0033333,                 0.8,            0.018621,           0.0047548,            0.029094,            0.020741,                   0,            0.007525,            0.007525,            0.007525
                   6,            0.071447,            0.027864,                   0,           0.0033333,                   1,            0.037529,           0.0088087,            0.032824,            0.017128,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.072702,            0.029186,                   0,           0.0050754,                 0.6,             0.13758,            0.029871,            0.037325,            0.015036,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.063629,            0.027188,                   0,           0.0050754,                 0.6,             0.13758,            0.029871,            0.037325,            0.015036,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.069988,            0.027585,                   0,            0.019068,                 0.8,             0.24147,            0.063089,            0.030821,              0.0135,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.069424,              0.0307,                   0,            0.019068,                 0.8,             0.24147,            0.063089,            0.030821,              0.0135,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.058648,            0.026451,                   0,            0.015825,                   1,             0.15091,            0.060838,            0.024476,            0.013255,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.057421,            0.027667,                   0,            0.015825,                   1,             0.15091,            0.060838,            0.024476,            0.013255,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.063229,            0.027316,                   0,           0.0086756,                   1,             0.17049,            0.057961,            0.023709,            0.012706,                   0,             0.00406,             0.00406,             0.00406
                  14,             0.05619,            0.026729,                   0,           0.0086756,                   1,             0.17049,            0.057961,            0.023709,            0.012706,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.048822,            0.026212,                   0,            0.081966,                 0.8,             0.18082,            0.063354,            0.021682,            0.012534,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.056937,            0.029452,                   0,            0.084572,                 0.6,             0.28732,             0.10578,            0.023145,            0.012203,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.055824,            0.026428,                   0,            0.084572,                 0.6,             0.28732,             0.10578,            0.023145,            0.012203,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.053331,            0.026543,                   0,           0.0033333,                   1,             0.16518,            0.058573,            0.023641,            0.012059,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.053593,             0.02416,                   0,           0.0033333,                   1,             0.16518,            0.058573,            0.023641,            0.012059,                   0,             0.00109,             0.00109,             0.00109
